model_id,series,reporting_role,year_month,observed,structural_regime_mean,one_step_ar_fitted,innovation,standardized_innovation
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-03,63.34171500950752,61.29802141599746,61.298021415997454,2.0436935935100635,0.43704313292542074
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-04,55.880535554368535,61.29802141599746,61.298021415997454,-5.4174858616289185,-1.1585273844691024
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-05,54.03774135246251,61.29802141599746,61.298021415997454,-7.2602800635349425,-1.552608255444756
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-06,68.23354445533982,61.29802141599746,61.298021415997454,6.935523039342371,1.4831590837375201
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-07,65.34963060816732,61.29802141599746,61.298021415997454,4.051609192169863,0.8664351546427796
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-08,64.74803131349269,61.29802141599746,61.298021415997454,3.450009897495235,0.737783363911887
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-09,61.53512440852972,61.29802141599746,61.298021415997454,0.23710299253226452,0.05070438886306724
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-10,60.267173655000605,61.29802141599746,61.298021415997454,-1.0308477609968492,-0.2204464193976541
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-11,63.06219466032603,61.29802141599746,61.298021415997454,1.7641732443285747,0.37726780774427643
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-12,61.6353611998906,61.29802141599746,61.298021415997454,0.33733978389314956,0.07213999030051786
Party Brand Index_required_alternative_K0_AR1,Party Brand Index,required_alternative,2022-03,43.031746997270034,57.11933468415022,56.110655839481765,-13.078908842211735,-2.3195305146638967
Party Brand Index_required_alternative_K0_AR1,Party Brand Index,required_alternative,2022-04,52.04340502830389,57.11933468415022,51.884616894941914,0.15878813336197073,0.028160905863254492
Party Brand Index_required_alternative_K0_AR1,Party Brand Index,required_alternative,2022-05,55.72073476834652,57.11933468415022,55.23320202206397,0.4875327462825467,0.08646341185974843
Party Brand Index_required_alternative_K0_AR1,Party Brand Index,required_alternative,2022-06,44.275881058987245,57.11933468415022,56.59963776925107,-12.323756710263824,-2.1856050905785596
Party Brand Index_required_alternative_K0_AR1,Party Brand Index,required_alternative,2022-07,56.19299969599727,57.11933468415022,52.346916818093156,3.8460828779041165,0.682098690712819
Party Brand Index_required_alternative_K0_AR1,Party Brand Index,required_alternative,2022-08,53.38697492221824,57.11933468415022,56.77512371283068,-3.38814879061243,-0.6008845694132166
