replicate,ar_order,primary_fixed_order,phi,bic_ar0,bic_ar1,bic_preferred_ar_order,republican_intercept,republican_polarization,republican_time,democrat_intercept,democrat_polarization,democrat_time,polarization_effect_contrast
43,0,True,0.0,518.053176763787,521.3753995455669,0,40.29142013311565,0.3384540406162598,-1.027031291606834,20.354166666666675,-0.25122134422645315,0.23814381723193379,0.589675384842713
43,1,False,0.06016650585524346,518.053176763787,521.3753995455669,0,40.31191687100034,0.3525875749657515,-1.0385469442508195,20.366181146447214,-0.2636094272718077,0.24735751230529085,0.6161970022375591
44,0,True,0.0,514.1150278110517,515.6842427305817,0,40.57334638400816,-0.11366621583051206,-0.6512763005657501,19.113664215686278,-0.17742906036538467,0.24063726408828492,0.0637628445348726
44,1,False,-0.2099807102492908,514.1150278110517,515.6842427305817,0,40.56832432262434,-0.3008433990542002,-0.5638960544371382,19.040195716398195,-0.08299348473862744,0.1951124779329386,-0.21784991431557277
45,0,True,0.0,518.2670886657153,520.9661212319013,0,39.71323529411766,0.018248613610612162,-0.5697824083196196,19.31652661064426,-0.034578226204480374,0.16199180136313107,0.052826839815092536
45,1,False,-0.12573754722326455,518.2670886657153,520.9661212319013,0,39.69562798711283,-0.06191815970037415,-0.5438140574094504,19.311853042386605,-0.04502110417906346,0.16656940511561508,-0.01689705552131069
46,0,True,0.0,519.4085487429738,522.8649189806198,0,41.64215686274512,-0.1769126893334803,-0.7792820941291335,19.27328431372549,-0.180258197885439,0.3021568245295802,0.003345508551958698
46,1,False,0.05203838749923719,519.4085487429738,522.8649189806198,0,41.645907361127975,-0.11352296629349755,-0.8050090461995179,19.252501678448944,-0.18472047828790653,0.2999816971399775,0.07119751199440898
47,0,True,0.0,490.3479006617434,488.52605037420955,1,40.327818627451,-0.439654753456033,-0.44347976523016025,20.621323529411768,-0.4190201455480108,0.39487194364672046,-0.020634607908022184
47,1,False,-0.39546399399771826,490.3479006617434,488.52605037420955,1,40.38266666958564,-0.6357172366513407,-0.37690096167474096,20.44882154478698,-0.421126356389303,0.3609802849429513,-0.2145908802620377
48,0,True,0.0,520.4295885151984,522.3300090857853,0,37.84226190476191,-0.11553662665027829,-0.2353737427460717,19.05921743697479,-0.14158210392780252,0.27952400251750886,0.026045477277524223
48,1,False,0.16408856030477034,520.4295885151984,522.3300090857853,0,37.87628164599344,-0.07610503523092116,-0.2726891520598867,19.137012412383463,-0.11839110328264126,0.27899629982591123,0.042286068051720097
49,0,True,0.0,536.4417031742103,539.9337159009249,0,38.62984376014221,-0.7277501592448515,-0.06344454506089844,18.997549019607856,-0.2727012227476282,0.09829141050092256,-0.45504893649722333
49,1,False,0.0253869324273169,536.4417031742103,539.9337159009249,0,38.633411855823056,-0.7081481576697207,-0.07379536131860794,18.98901236704463,-0.27749728490543024,0.09879297493303278,-0.4306508727642905
50,0,True,0.0,543.1450857140214,543.1959145171402,0,41.769317776130066,-0.0950139606490944,-0.403596420398303,20.47426470588236,-0.10113854139842848,0.1488278684937805,0.006124580749334085
50,1,False,-0.3159028096200526,543.1450857140214,543.1959145171402,0,41.838969851563554,-0.5598758939162928,-0.20197689263512245,20.399769238435578,-0.05754607931700897,0.12051203529124171,-0.5023298145992838
51,0,True,0.0,520.5172776513884,523.1137836242458,0,38.26864495798319,-0.7117263143121029,-0.23107749292446966,19.441993464052292,-0.24416210081796802,0.18252813345511693,-0.46756421349413485
51,1,False,0.12468383466918144,520.5172776513884,523.1137836242458,0,38.26110989290439,-0.6596175744183571,-0.2625741748678971,19.487073826829835,-0.24104952182903808,0.1892183620039872,-0.41856805258931906
52,0,True,0.0,499.9993153219767,502.41303194894414,0,39.90156687675071,-0.3978640860449443,-0.8289029709441482,19.509716386554622,0.08885640277004514,0.14489729070173757,-0.4867204888149894
52,1,False,0.13833063993995215,499.9993153219767,502.41303194894414,0,39.91041179664505,-0.31127246751441373,-0.8572822872645071,19.470663554443814,0.06326208661778178,0.14324977058336777,-0.3745345541321955
53,0,True,0.0,485.6666421900459,489.1308553693717,0,39.35797443977592,-0.5894265655101296,-0.4670114369279987,19.271446078431374,-0.18971840631844125,0.1955301225622609,-0.39970815919168834
53,1,False,0.03230400899788949,485.6666421900459,489.1308553693717,0,39.339225961808815,-0.5956277497396145,-0.4651526606554165,19.262457257196637,-0.18886025244743473,0.19354589474937067,-0.40676749729217976
54,0,True,0.0,519.5935896571876,523.1122124941388,0,39.76644862490452,0.08407984118457401,-0.5553614775060611,19.249387254901965,-0.09127035979325376,0.1843313839925921,0.17535020097782777
54,1,False,-0.012669856954502285,519.5935896571876,523.1122124941388,0,39.76380551573812,0.07652258418505503,-0.5518261833260153,19.243352047364226,-0.08891842162649019,0.18238749880763955,0.16544100581154522
55,0,True,0.0,492.84442834106284,495.9198912542559,0,38.51447510822513,-0.9904269835857951,-0.3279989247754689,19.975490196078432,-0.40787300430467155,0.3548136197491936,-0.5825539792811235
55,1,False,0.08351091159674881,492.84442834106284,495.9198912542559,0,38.50094856619428,-0.9979645711486553,-0.3321238316173679,19.957255741696397,-0.40170000350846624,0.35283367158564083,-0.5962645676401891
56,0,True,0.0,523.8185252915765,527.3411329089812,0,40.6075221755369,-0.71206066962907,-0.5220200394291934,20.147058823529424,-0.06605575046345255,0.04412812511450865,-0.6460049191656174
