series,minseglen,initialization,replicate,seed,suggestion_count,n_breakpoints,ar_order,break_onset_indices_1based,break_onset_dates,ga_objective_bic,refit_raw_bic,break_location_penalty,log_likelihood,ga_convergence_counter,configuration
Party Brand Index,5,random,5,4655,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,structured,1,3751,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,structured,2,3752,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,structured,3,3753,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,structured,4,3754,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,structured,5,3755,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,random,1,4751,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,random,2,4752,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,random,3,4753,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,random,4,4754,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,6,random,5,4755,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
